time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-17T10:13:06.639Z,45.5667,26.4263,121.104,4.1,mb,32,50,0.347,0.48,us,us7000k96e,2023-07-12T11:15:35.255Z,"Romania",earthquake,7.44,5.757,0.145,13,reviewed,us,us
2023-06-16T09:54:55.096Z,38.667,42.996,16.035,4.3,mb,30,89,0.358,0.54,us,us7000k8w6,2023-07-12T13:29:33.040Z,"27 km ESE of Adilcevaz, Turkey",earthquake,5.88,5.164,0.129,17,reviewed,us,us
2023-06-15T22:02:57.432Z,34.9699,23.4992,52.255,4.1,mb,47,246,1.183,0.64,us,us7000k8t3,2023-06-24T04:52:07.394Z,"33 km SSW of Palaióchora, Greece",earthquake,9.56,11.129,0.09,34,reviewed,us,us
2023-06-11T22:29:24.379Z,38.6043,22.9198,10,4,mb,44,55,1.534,0.84,us,us7000k7wn,2023-07-20T01:06:15.040Z,"8 km SW of Atalánti, Greece",earthquake,4.14,1.945,0.138,14,reviewed,us,us
2023-06-11T07:41:05.327Z,40.1178,40.985,10,4.3,mb,52,42,0.387,0.77,us,us7000k7sb,2023-07-07T06:12:24.571Z,"eastern Turkey",earthquake,5.49,1.917,0.099,29,reviewed,us,us
2023-06-11T04:42:01.972Z,37.7894,27.186,10,4,mb,47,109,0.564,0.95,us,us7000k7rj,2023-07-08T23:21:18.170Z,"10 km SW of Kuşadası, Turkey",earthquake,3.36,1.906,0.197,7,reviewed,us,us
2023-06-10T10:04:51.681Z,38.5793,22.9114,12.001,4.2,mwr,53,55,1.557,0.59,us,us7000k7m7,2023-07-02T12:53:07.040Z,"10 km NNE of Chairóneia, Greece",earthquake,3.89,4.848,0.065,23,reviewed,us,us
2023-06-10T02:55:02.431Z,34.5247,25.356,37.519,4.3,mb,64,99,0.852,0.7,us,us7000k7kl,2023-07-01T01:44:25.040Z,"Crete, Greece",earthquake,7.21,7.965,0.091,34,reviewed,us,us
2023-06-08T12:33:53.310Z,38.6013,22.9574,10,4.8,mb,122,35,1.543,0.51,us,us7000k74e,2023-07-19T10:20:30.040Z,"6 km SSW of Atalánti, Greece",earthquake,4.51,1.783,0.043,167,reviewed,us,us
2023-06-08T03:38:42.693Z,37.7829,36.3231,10,4.3,mb,69,44,0.203,0.7,us,us7000k71u,2023-07-06T03:23:26.040Z,"22 km N of Andırın, Turkey",earthquake,2.56,1.891,0.104,26,reviewed,us,us
2023-06-07T12:26:38.692Z,42.0428,24.8423,10,4.6,mb,106,26,1.037,0.78,us,us7000k6vb,2023-07-16T12:31:26.209Z,"Bulgaria",earthquake,5.29,1.872,0.082,45,reviewed,us,us
2023-06-06T13:24:34.648Z,32.6386,47.6964,10,4.1,mb,21,203,3.512,1.09,us,us7000k86z,2023-06-13T19:05:18.040Z,"40 km E of Dehlorān, Iran",earthquake,14.25,2.006,0.158,11,reviewed,us,us
2023-06-05T16:40:47.905Z,37.9672,36.5784,10.496,4.5,mwr,92,26,0.428,0.54,us,us7000k6ge,2023-07-13T17:42:37.040Z,"9 km SE of Göksun, Turkey",earthquake,3.77,4.322,0.071,19,reviewed,us,us
